CarID,Brand,Model,Year,Price,Mileage,Fuel,Color,Owner,Location
41,BMW,Civic,2018,,45000,Hybrid,,First,Los Angeles
42,,Model S,,,, Diesel ,Blue,Third,
43,Ford,Corolla,2018,50000,15000,,Silver,Second,Houston
44,Hyundai,Corolla,2020,40000,75000, Diesel ,Blue,Third,Miami
45,Tesla,Accord,2010,25000,30000,Petrol,Black,,Miami
46,Tesla,Civic,2018,60000,,Hybrid,White,First,New York
47,Hyundai,Focus,2012,,15000, Diesel ,Silver,Third,Phoenix
48,,,2015,40000,60000, Diesel ,Red,Third,Phoenix
49, Nissan ,Focus,2020,40000,30000,Hybrid,Silver,Third,New York
50, Nissan ,,2012,50000,,Petrol,,Third,New York
51,,,2010,20000,15000,Electric,White,Third,New York
52, Nissan ,Focus,2015,25000,100000,Hybrid,Black,,Houston
53,BMW,Accord,2018,40000,30000,Hybrid,White,First,
54,Tesla,Corolla,2012,30000,30000,,Blue,Third,Miami
55,,,2012,30000,75000,Petrol,Silver,First,Los Angeles
56,Tesla,Accord,2018,60000,30000,Petrol,Black,, Chicago 
57,Hyundai,Civic,,20000,60000,Petrol,Silver,First,
58,Toyota,Civic,,50000,30000,,Gray,Second, Chicago 
59,BMW,,2018,40000,15000,Hybrid,Black,Second,Phoenix
60,Honda,Corolla,2012,30000,15000,Petrol,Black,Second,
61,BMW,,2010,40000,30000,Petrol,Blue,Third,
62,,Civic,2020,30000,100000,Petrol,Gray,Third,Houston
63,Honda,Mustang ,2010,60000,60000,Electric,Red,Second,Houston
64,Toyota,Civic,2010,25000,15000,Petrol,Silver,,New York
65,,Focus,2020,,15000, Diesel ,Gray,First,Miami
66,Ford,Mustang ,2010,30000,30000,Electric,,Second,Miami
67,Tesla,Corolla,2015,25000,,Electric,Silver,Second,Phoenix
68,Toyota,Focus,2018,,,Petrol,Red,Second,
69,Tesla,Mustang ,2012,20000,45000,,Blue,First,Houston
70, Nissan ,Accord,2020,,,Hybrid,Red,Third,Los Angeles
71,Ford,Mustang ,2010,25000,60000,,Silver,Third,
72,Ford,Accord,2012,50000,15000,,Red,Second,New York
73,Toyota,Accord,,30000,60000,Hybrid,Gray,, Chicago 
74,Ford,Mustang ,2015,60000,45000,Electric,Gray,Third,Los Angeles
75,Honda,Mustang ,2010,50000,60000,Electric,Silver,,Houston
76,Ford,Model S,2010,60000,45000,,Black,First,
77,Tesla,Mustang ,2010,20000,60000,Hybrid,Silver,,Houston
78,Tesla,Accord,2015,40000,45000,Electric,Black,,Phoenix
79,,,2018,60000,100000,Petrol,Silver,First,Phoenix
80,Tesla,Focus,2012,50000,15000, Diesel ,White,First,Houston
81,,Accord,2010,20000,45000, Diesel ,Silver,Third, Chicago 
82,Tesla,Corolla,,,,Hybrid,Black,,
83,Honda,Mustang ,2010,25000,30000,Electric,Black,,Miami
84,Hyundai,Accord,2015,20000,45000,,Blue,Third,Miami
85,,,2015,20000,45000,Petrol,Blue,,
86,BMW,Mustang ,2012,30000,100000,,,,
87, Nissan ,,2012,,100000,,,Third,
88,Toyota,,,30000,100000, Diesel ,Black,,
89,Tesla,,2010,50000,100000,Hybrid,White,,New York
90,Ford,,,60000,45000, Diesel ,Gray,First,Houston
91,Hyundai,Corolla,,60000,30000,Hybrid,Blue,Third,Phoenix
92,Tesla,Model S,,30000,, Diesel ,White,Second,
93,Ford,Civic,2010,,,,Silver,First, Chicago 
94, Nissan ,Model S,2010,20000,30000,Hybrid,Gray,,Miami
95, Nissan ,Civic,2010,25000,,,Silver,Third,Phoenix
96, Nissan ,Focus,2010,25000,100000,Hybrid,Black,First,Phoenix
97,Ford,Mustang ,,,30000, Diesel ,White,,New York
98,Tesla,,2015,,75000, Diesel ,Red,Second,Houston
99, Nissan ,Focus,2018,25000,100000, Diesel ,Gray,Third,New York
100,Honda,Focus,2012,60000,100000,Hybrid,,First,Houston
101,,Mustang ,2015,25000,100000,Electric,Blue,,Phoenix
102,Ford,Civic,2020,50000,45000,Petrol,Gray,First,
103,Ford,Corolla,2020,40000,15000,Hybrid,White,Second, Chicago 
104,Tesla,,2020,,60000,Hybrid,,,Los Angeles
105,Ford,Accord,2012,50000,75000,Electric,Red,Third,
106,Ford,Mustang ,2010,30000,60000, Diesel ,Gray,Third,Los Angeles
107, Nissan ,Mustang ,2020,20000,75000,,Gray,Second,Houston
108,Tesla,Focus,2020,20000,100000,Petrol,Gray,First,Houston
109, Nissan ,Model S,2018,40000,45000,Electric,Blue,,Houston
110,,,2015,50000,30000,,Silver,Third,Phoenix
111,Hyundai,Corolla,,,15000,,Red,First,
112,,,2012,20000,45000,Hybrid,Black,Third,
113,Hyundai,Accord,2012,20000,100000,Petrol,White,Third,Houston
114, Nissan ,Accord,2018,20000,45000,Petrol,Black,,Phoenix
115,,Focus,2020,25000,45000,Petrol,Gray,Second, Chicago 
116,Tesla,Model S,,40000,60000,Electric,Silver,First,Phoenix
117,Toyota,Focus,,50000,45000,Electric,Black,First, Chicago 
118, Nissan ,Corolla,2018,30000,75000,Hybrid,Red,First, Chicago 
119,Hyundai,Civic,2010,25000,100000,Petrol,White,Third,Phoenix
120,Honda,Accord,2020,,100000,,,,
121,Hyundai,Model S,,60000,100000, Diesel ,Red,,
122,Honda,Accord,2012,60000,60000,Hybrid,,,New York
123,Ford,Corolla,,60000,100000, Diesel ,Blue,Second,Miami
124,,Corolla,2015,40000,, Diesel ,Gray,,
125,Honda,Accord,2018,25000,45000,Hybrid,Silver,,Miami
126,Hyundai,Focus,,25000,100000,Petrol,Black,Third,Houston
127,Ford,Accord,,40000,75000,Electric,Black,Second,Phoenix
128,Toyota,Focus,,50000,100000,Hybrid,Black,First,New York
129,Tesla,Accord,2018,,100000,,Blue,,Houston
130,Tesla,Focus,2012,40000,15000,,Black,,Houston
131,Tesla,Civic,,40000,100000,Hybrid,Red,Second,New York
132,Honda,,,,60000,Hybrid,White,Second,Los Angeles
133,Toyota,,2020,25000,30000, Diesel ,Blue,Second,
134,Honda,Focus,2020,,,Electric,Red,Second, Chicago 
135,,Focus,2020,60000,45000,Petrol,Gray,,New York
136,Honda,Mustang ,,30000,60000,,White,First,Houston
137,Toyota,Mustang ,,,30000,Electric,Red,Third,
138,Toyota,Civic,,30000,75000, Diesel ,,First,Miami
139,,,2015,40000,100000,Electric,Blue,,Phoenix
140,Toyota,Civic,2015,60000,45000,Petrol,White,First,Phoenix
141,Hyundai,Mustang ,2020,20000,75000,Hybrid,White,Second, Chicago 
142,Toyota,Mustang ,2015,40000,100000,Hybrid,Black,Second, Chicago 
143,Tesla,Corolla,2018,30000,60000,Hybrid,Silver,Third,Houston
144,Hyundai,Accord,,,45000, Diesel ,Silver,First,
145,Hyundai,Mustang ,2020,30000,60000,Petrol,,Second, Chicago 
146,,,2015,20000,15000,Electric,Silver,First,New York
147,BMW,Focus,,40000,15000,,,Third, Chicago 
148,BMW,Model S,,30000,75000, Diesel ,Red,,Miami
149,Toyota,Mustang ,2018,25000,,Petrol,White,,
150,Hyundai,Corolla,2018,40000,15000,,,, Chicago 
151,BMW,Accord,2015,40000,100000,Hybrid,White,,New York
152,BMW,Model S,2020,30000,15000,Petrol,,Third,Phoenix
153,Toyota,Civic,2020,30000,45000,Electric,Red,Second,Los Angeles
154,BMW,Accord,2015,60000,30000, Diesel ,White,Second,Miami
155,Honda,Civic,2015,20000,75000,Petrol,White,,Houston
156,Ford,Civic,2010,60000,60000,Hybrid,,Third, Chicago 
157,,Focus,2018,50000,100000, Diesel ,Blue,First,Miami
158,Ford,Civic,2020,25000,60000,,Red,Third,
159,Toyota,Mustang ,2012,30000,,Hybrid,Blue,Third,Houston
160,Tesla,Model S,2018,20000,15000,,Blue,Third,New York
161,,Corolla,,30000,,Hybrid,Red,,Miami
162,Toyota,Mustang ,2020,60000,45000,Electric,Blue,,
163,Hyundai,Focus,,40000,, Diesel ,Red,Third,Houston
164,Tesla,Corolla,2010,50000,30000,Petrol,White,,
165,Ford,Civic,2018,50000,15000,,White,,Houston
166,Toyota,,2018,40000,60000,,,Third, Chicago 
167,Hyundai,Accord,,60000,60000,,Gray,Third,New York
168,,Focus,2020,60000,60000,Electric,Gray,Second,Phoenix
169,,Civic,2012,40000,,Electric,Gray,First,
170, Nissan ,Focus,2015,50000,60000,Electric,Black,Second,Los Angeles
171,Hyundai,,2012,40000,75000,Hybrid,Gray,Second,Houston
172,Honda,Model S,,,15000,Electric,Blue,Second,New York
173,BMW,Mustang ,2010,40000,45000, Diesel ,,,Los Angeles
174,Tesla,Model S,2018,25000,100000, Diesel ,Black,,Miami
175,Hyundai,Accord,,40000,,Hybrid,Red,,
176, Nissan ,Model S,,,100000,,Black,First,
177,BMW,Mustang ,2020,30000,,Electric,,Third,Los Angeles
178,BMW,Mustang ,2018,30000,15000,Electric,Gray,Third,Phoenix
179,Toyota,,2015,,30000,Electric,White,,
180,BMW,Corolla,2012,40000,75000,,White,Second,Houston
181,Honda,,2012,20000,30000, Diesel ,Silver,,New York
182,,,2010,25000,45000,,,First,
183, Nissan ,Civic,2020,40000,100000, Diesel ,,Third,Phoenix
184,BMW,Model S,2015,,15000,,Black,Third,Phoenix
185,Toyota,Focus,,60000,45000,Hybrid,Silver,Third,Los Angeles
186,Honda,Mustang ,2015,50000,100000,,Gray,,New York
187,Ford,Accord,2020,40000,100000,Petrol,Red,Third,Miami
188,,Corolla,2010,,30000,,Black,, Chicago 
189,,Mustang ,,60000,60000,Electric,Gray,First,Los Angeles
190, Nissan ,Focus,2015,40000,, Diesel ,Black,First,
191,,Civic,2010,20000,60000,,,Third,Los Angeles
192,BMW,Civic,2020,50000,30000, Diesel ,Blue,Third,
193,Toyota,Corolla,2020,20000,45000,Petrol,White,First, Chicago 
194,,Focus,2020,25000,30000,Petrol,,First,Los Angeles
195,,Corolla,2015,25000,60000,Petrol,Black,First,Phoenix
196,Ford,Corolla,2020,,100000,,Gray,Third,Houston
197,Ford,Model S,2015,20000,75000,Electric,Blue,Second,Houston
198,Tesla,Focus,2010,25000,15000,Petrol,Black,,Phoenix
199,Honda,Model S,2018,,15000,Electric,Black,,Houston
200,BMW,Mustang ,2010,50000,75000,Electric,White,,Houston
201,,Model S,2015,25000,45000,,Red,First,Los Angeles
202,Hyundai,Mustang ,2012,50000,45000,Petrol,Blue,Second,New York
203,,Accord,2012,20000,75000,Petrol,Red,First,
204,Toyota,Model S,,50000,100000, Diesel ,White,,Houston
205,Tesla,,2018,40000,,,White,Third,Houston
206,Honda,Civic,2020,30000,60000,Electric,Gray,Third,Phoenix
207,Hyundai,Civic,2010,20000,100000,Petrol,White,Third,Phoenix
208,Tesla,,2010,50000,45000,,,,Los Angeles
209, Nissan ,Mustang ,2015,25000,45000, Diesel ,Gray,Third,New York
210,Honda,Mustang ,,60000,60000, Diesel ,Silver,,Los Angeles
211,,Corolla,2018,30000,,Electric,White,Third, Chicago 
212,,Focus,2020,20000,,Electric,Silver,,New York
213,Honda,Focus,2018,60000,30000,Petrol,Gray,Second,
214,,Focus,2012,25000,100000,Petrol,Black,First,Los Angeles
215,BMW,Model S,,20000,60000, Diesel ,Black,Second,Los Angeles
216,Honda,Focus,2018,50000,15000,Petrol,White,Second,Miami
217,Tesla,Focus,2020,50000,15000,,Blue,Second,Miami
218,Honda,Mustang ,,50000,15000,Electric,Red,,New York
219,Hyundai,Focus,2020,,60000, Diesel ,Black,First,Los Angeles
220,,Civic,2010,25000,60000,Petrol,Silver,,New York
221,BMW,,2010,30000,,,Black,Third,
222,BMW,Accord,2020,20000,30000,Petrol,Silver,Second,Miami
223, Nissan ,Mustang ,2010,25000,30000,Hybrid,Silver,Third,Los Angeles
224,Tesla,Corolla,2010,50000,,Electric,,First,Los Angeles
225,Ford,,2010,40000,60000, Diesel ,Black,Third,Miami
226,Ford,Focus,2020,25000,100000, Diesel ,Black,,New York
227,Honda,Corolla,2010,20000,60000, Diesel ,White,First,Los Angeles
228, Nissan ,Corolla,2012,40000,60000, Diesel ,Red,,Miami
229,Toyota,,,30000,15000,,Silver,Second,Houston
230,Honda,,2020,40000,,Hybrid,White,Second, Chicago 
231, Nissan ,,2018,20000,60000,Electric,Blue,First,New York
232,Tesla,Mustang ,,40000,100000,Electric,Gray,First,New York
233,Tesla,Mustang ,2015,50000,,Petrol,Silver,,Phoenix
234,Tesla,Accord,,20000,30000,Petrol,Gray,First,Houston
235,Tesla,,2015,40000,15000, Diesel ,Gray,Second, Chicago 
236,Tesla,Accord,2012,,75000,Petrol,Black,,Miami
237, Nissan ,Model S,2020,30000,75000,Petrol,Blue,First,New York
238, Nissan ,Civic,2018,30000,30000, Diesel ,Gray,Second, Chicago 
239,BMW,Accord,2020,30000,, Diesel ,Silver,Second,
240,Hyundai,Civic,2018,,30000,Petrol,Blue,First, Chicago 
241,Ford,Focus,2018,30000,45000,Electric,Black,Third,
242,,Model S,2020,40000,75000,Electric,Black,Second,Phoenix
243,Tesla,Corolla,,50000,,Petrol,,Second,
244,Toyota,,2010,25000,,,White,,Los Angeles
245,,Focus,2015,50000,,Hybrid,Silver,Second,Phoenix
246, Nissan ,Corolla,2010,60000,60000,Electric,Silver,,New York
247,Toyota,Mustang ,2015,,15000,Petrol,,Third,Phoenix
248,Toyota,Civic,2010,60000,75000, Diesel ,Silver,Second,New York
249,Toyota,Corolla,2020,,15000,Hybrid,Blue,Second,Miami
250,BMW,,2020,20000,60000,Electric,,Third,Miami
251, Nissan ,,2018,,30000,,Blue,Second, Chicago 
252,Toyota,Accord,2012,30000,75000,Hybrid,Silver,Second,Los Angeles
253,Tesla,Accord,2020,,100000,Petrol,White,Third,New York
254,Honda,Mustang ,2015,,60000,,Blue,,Houston
255,Toyota,Civic,2018,40000,75000,,Blue,,
256,BMW,,2015,40000,100000,Hybrid,Black,Second,Houston
257,,Model S,2010,50000,45000,Electric,Black,Second,Houston
258, Nissan ,Focus,2012,,, Diesel ,White,, Chicago 
259,Hyundai,Civic,2020,30000,100000,Petrol,Silver,Second,Houston
260,BMW,Civic,2010,60000,60000, Diesel ,Blue,First,
261,Toyota,Corolla,2018,40000,15000,Petrol,Black,First, Chicago 
262, Nissan ,Civic,2015,25000,30000,,Black,,Phoenix
263,Honda,Mustang ,,40000,75000,,Gray,First,Miami
264,Toyota,Focus,2012,20000,75000,Petrol,Red,Second,Los Angeles
265,BMW,Model S,2020,20000,15000,,Black,Second,Los Angeles
266,Ford,Corolla,2015,60000,75000,Hybrid,Gray,Second,Phoenix
267,Tesla,Focus,2020,,60000,Hybrid,Red,Third,Houston
268,Hyundai,Accord,2020,,60000, Diesel ,Blue,Second,
269,,Civic,2015,60000,60000,Electric,Red,,Phoenix
270,BMW,Mustang ,2020,30000,60000,Electric,White,First,New York
271, Nissan ,,2018,50000,45000, Diesel ,Silver,Third,
272,Hyundai,Accord,2012,60000,60000, Diesel ,Blue,Second,New York
273,Hyundai,,2010,50000,75000,Hybrid,Silver,First,Houston
274,Hyundai,Focus,2012,25000,45000,Petrol,Black,First,Miami
275,Toyota,Model S,2010,30000,100000,Hybrid,Red,Third,Los Angeles
276,Tesla,,2018,30000,75000,Electric,White,Third,New York
277,Toyota,Mustang ,2012,50000,75000,Electric,Red,First,New York
278, Nissan ,Focus,2018,60000,15000, Diesel ,Red,,New York
279,Toyota,Corolla,2015,20000,,Hybrid,Blue,,Miami
280,Ford,Civic,2010,50000,15000, Diesel ,Red,,Houston
281,Tesla,Model S,2015,60000,75000,Hybrid,Gray,Third,New York
282,Tesla,Mustang ,2015,50000,,,Blue,, Chicago 
283, Nissan ,Mustang ,2012,25000,75000,Hybrid,Gray,Second,Houston
284,,Model S,2020,60000,60000,,White,First,Miami
285,Ford,Corolla,2020,60000,60000,Hybrid,Red,Third,Houston
286,BMW,Model S,2018,50000,75000,Petrol,Red,First, Chicago 
287,Toyota,Focus,2012,60000,75000,Electric,White,First,Miami
288,Honda,Model S,2015,60000,, Diesel ,Silver,Third,Houston
289,Toyota,Model S,,25000,60000,Petrol,Black,Third,Phoenix
290,Hyundai,Model S,2018,40000,75000,Electric,Blue,Second,
291,Toyota,Focus,2015,,30000,,Gray,Third,Los Angeles
292,BMW,Accord,2018,60000,15000, Diesel ,White,,Phoenix
293,Toyota,Civic,,,45000,Electric,Blue,Third,Houston
294,Ford,,2010,20000,75000, Diesel ,Blue,Third,Phoenix
295,Ford,Accord,2018,20000,15000,Petrol,Black,Third,Los Angeles
296,Tesla,Model S,2018,40000,60000,Electric,Red,Second,Miami
297, Nissan ,Corolla,2015,40000,60000, Diesel ,Black,Second,Houston
298,,Mustang ,2020,30000,30000,,Silver,,Miami
299,Honda,Corolla,2015,,60000,,Black,Third,Houston
300,Hyundai,Focus,2012,40000,,Hybrid,Blue,Third,Los Angeles
301,Toyota,Civic,2015,25000,30000,Hybrid,Black,Third, Chicago 
302,Toyota,Model S,,30000,60000, Diesel ,Red,Second,Miami
303,BMW,Focus,2020,30000,45000,,Blue,Third,New York
304, Nissan ,,2012,,45000,Electric,White,,Miami
305,Ford,Civic,,,75000,Electric,Gray,, Chicago 
306,Honda,Civic,2020,,,Petrol,Red,,Houston
307,Tesla,Focus,2012,20000,30000,Hybrid,Red,Third,Los Angeles
308,Ford,Accord,2015,60000,,,White,,Houston
309,Hyundai,Mustang ,2020,,60000,Petrol,Blue,,Los Angeles
310, Nissan ,Corolla,,20000,75000, Diesel ,Silver,Second, Chicago 
311,Hyundai,Accord,,40000,15000,Hybrid,Red,First,
312,,Civic,2020,60000,60000,,Gray,, Chicago 
313,Tesla,Corolla,,25000,100000,,Blue,Second,
314,,Civic,,60000,100000, Diesel ,,Second,Houston
315,BMW,Mustang ,2010,60000,15000,,Gray,First, Chicago 
316,Hyundai,Civic,2010,60000,75000,Petrol,Blue,First,Los Angeles
317,BMW,Civic,2018,25000,,Hybrid,Silver,,
318,Toyota,,2010,30000,60000,Petrol,Black,,New York
319,,Corolla,2020,60000,30000,Electric,Red,, Chicago 
320, Nissan ,,2018,30000,,,,,Miami
321,Hyundai,Corolla,2015,60000,15000,,White,Third,Phoenix
322,Honda,Mustang ,2018,30000,15000,,Blue,Third,
323,Tesla,Mustang ,,25000,15000, Diesel ,Silver,Second,Phoenix
324,Ford,,2012,30000,45000,Electric,Silver,Third,Houston
325, Nissan ,,2018,60000,45000,Electric,Silver,Third,Houston
326, Nissan ,,2010,20000,100000,Petrol,Black,First, Chicago 
327,BMW,Mustang ,2015,30000,,,Red,,Phoenix
328,,Mustang ,2012,40000,15000, Diesel ,Red,,Phoenix
329,Hyundai,Focus,2018,60000,15000,Petrol,Gray,First,New York
330,Hyundai,,2015,30000,45000,,Silver,Second,Los Angeles
331,Toyota,Accord,2010,60000,60000,Electric,Silver,, Chicago 
332,Toyota,Accord,2015,20000,75000,,Black,Third,Miami
333,Tesla,Civic,2015,50000,15000,,Black,First,Los Angeles
334,BMW,Model S,2012,25000,100000,Electric,Gray,,New York
335, Nissan ,,2020,50000,60000,,White,First,Phoenix
336,Hyundai,Model S,2010,60000,15000,Electric,,Third,Miami
337,Honda,Model S,2012,25000,30000,Petrol,Blue,Third,Phoenix
338,BMW,Civic,2012,25000,60000,Hybrid,Gray,First, Chicago 
339,Tesla,Model S,2012,20000,75000,Electric,Silver,Second,Phoenix
340,Tesla,Mustang ,2020,25000,45000,Petrol,Red,Third,
341,BMW,Model S,2020,60000,30000, Diesel ,,Third,
342,Tesla,Mustang ,2018,60000,60000,Petrol,Gray,Third,Phoenix
343,BMW,Mustang ,2018,,30000,Electric,Silver,First, Chicago 
344,Ford,Accord,2010,30000,100000,,Red,,Phoenix
345,BMW,Mustang ,,20000,45000,Electric,Red,First,
346,,Model S,2010,30000,75000,Petrol,Silver,First,New York
347,BMW,Corolla,2020,40000,45000,Petrol,Silver,,Los Angeles
348,Tesla,,2020,60000,30000, Diesel ,,,Phoenix
349,Hyundai,,2020,30000,30000,Hybrid,White,,Los Angeles
350,,Model S,2012,20000,45000,Petrol,Black,Third,Houston
351,Tesla,Civic,2020,,30000,Petrol,Gray,Third,Miami
352,Toyota,Corolla,2012,,15000,Electric,Blue,Third,Houston
353,Toyota,Civic,2012,25000,75000, Diesel ,Blue,Third,New York
354,Hyundai,Civic,2010,,100000, Diesel ,Blue,First,
355,Hyundai,Model S,2015,40000,75000,,Gray,,Los Angeles
356,,Focus,2018,40000,,Petrol,Black,Second,Los Angeles
357,Ford,Model S,2018,30000,60000,Petrol,Black,,Los Angeles
358,Hyundai,Accord,2010,40000,45000,Hybrid,White,Second,Los Angeles
359,Toyota,Focus,2010,20000,75000,Electric,Gray,Third, Chicago 
360,BMW,Mustang ,2020,60000,,Petrol,Black,First,Miami
361,Tesla,Corolla,2020,60000,75000,Hybrid,Red,Second, Chicago 
362,Toyota,Focus,2020,25000,15000, Diesel ,,First,New York
363,Toyota,Model S,2012,40000,100000,Electric,Black,First,
364,Ford,Model S,2012,25000,45000,Petrol,Gray,Third,Los Angeles
365,,Civic,2020,50000,,Petrol,,Third,Phoenix
366,,Model S,2012,25000,,Electric,White,Second,
367, Nissan ,Mustang ,2010,30000,15000,Hybrid,White,First,Los Angeles
368,Ford,Accord,2020,20000,75000, Diesel ,Black,First, Chicago 
369,BMW,Model S,2018,50000,75000,Hybrid,,Third, Chicago 
370,,,2018,60000,60000,,Silver,,
371,Tesla,,,30000,75000,Petrol,Blue,First,Phoenix
372,Hyundai,Civic,2012,40000,30000,,Red,Third,Miami
373,Ford,Focus,2018,50000,30000,Electric,,Second,Los Angeles
374,Hyundai,Focus,2020,60000,75000,Petrol,Black,Second, Chicago 
375,Toyota,,2018,50000,45000,Petrol,Red,Second,Los Angeles
376,Tesla,Accord,2010,40000,45000,Electric,Silver,First, Chicago 
377,Tesla,Corolla,2012,25000,60000,,Gray,First,Los Angeles
378,Toyota,Mustang ,2018,60000,15000,Hybrid,White,,Phoenix
379,Ford,Mustang ,2012,50000,30000,,,Second,Phoenix
380,Toyota,Mustang ,2010,,100000, Diesel ,Silver,First,Los Angeles
381,Hyundai,Accord,2018,60000,100000,,White,Third,New York
382, Nissan ,,,25000,100000,Hybrid,Silver,,Phoenix
383,Tesla,Mustang ,2020,20000,100000, Diesel ,Black,Third,New York
384,Honda,Accord,2015,,100000,Electric,Silver,,Houston
385,Honda,Corolla,2018,,30000,Petrol,Silver,Third,New York
386,Hyundai,Focus,2010,,75000, Diesel ,Silver,First,Phoenix
387,BMW,,,40000,30000, Diesel ,Black,Third,
388,,Model S,,60000,15000, Diesel ,Silver,,New York
389,Toyota,Mustang ,2015,20000,,Petrol,Red,Third, Chicago 
390,Toyota,Corolla,,40000,75000,Hybrid,,, Chicago 
391,BMW,Corolla,2018,25000,100000, Diesel ,Silver,Second,New York
392,BMW,Corolla,2012,50000,100000,Electric,Gray,Second,Houston
393,Hyundai,Focus,2010,25000,15000,Hybrid,Blue,, Chicago 
394,Hyundai,Accord,2018,25000,100000,Electric,Gray,First,
395,BMW,Civic,2010,25000,45000,Petrol,White,Second,
396,Tesla,Mustang ,2020,40000,15000,Electric,White,Third, Chicago 
397,Hyundai,Model S,2015,,30000,,,Third, Chicago 
398, Nissan ,Mustang ,2015,20000,75000,,Red,Third,Los Angeles
399,Hyundai,,2020,30000,100000,Petrol,,,Phoenix
400,Toyota,Accord,2015,50000,15000,Hybrid,Gray,Second,Houston
401,Hyundai,Corolla,2015,30000,30000,Petrol,Gray,Third,Phoenix
402,Tesla,Mustang ,,25000,30000,Hybrid,Silver,Second, Chicago 
403,BMW,Focus,2020,50000,,,White,,Miami
404,Toyota,Corolla,2012,40000,30000,,Black,Third,
405,Hyundai,Accord,,25000,60000,,White,Second,Los Angeles
406,Tesla,,2015,50000,75000, Diesel ,Red,,Los Angeles
407, Nissan ,Model S,2012,40000,60000,,White,Second,Los Angeles
408,Hyundai,Corolla,2010,50000,100000,Electric,Black,Second, Chicago 
409,Tesla,Mustang ,2010,,15000,Petrol,,Second, Chicago 
410, Nissan ,Mustang ,2015,20000,30000,Hybrid,Silver,, Chicago 
411,BMW,Focus,2010,25000,100000,,Red,Third,Miami
412,Hyundai,Focus,2020,20000,45000,Petrol,Red,Second,Los Angeles
413, Nissan ,Civic,2015,,60000, Diesel ,Black,Third,Los Angeles
414,Toyota,Focus,2020,30000,60000,,Red,,Los Angeles
415,BMW,Civic,2012,50000,30000,Petrol,,Third, Chicago 
416,Toyota,Model S,2018,60000,60000,Hybrid,,First,Miami
417,Honda,,2018,25000,,,Red,,New York
418,Ford,Civic,,50000,45000,Electric,White,First,New York
419,Hyundai,Corolla,2015,60000,45000,,Black,First,
420, Nissan ,Accord,2020,30000,30000,Petrol,,Second,Los Angeles
421,Ford,Mustang ,2018,20000,75000, Diesel ,Red,Third,
422,Ford,Corolla,2015,50000,100000,,,Second,
423, Nissan ,Mustang ,,60000,75000,Electric,Gray,Second,Miami
424,BMW,,2018,50000,100000, Diesel ,White,Third, Chicago 
425,Hyundai,Focus,,20000,,Electric,White,Second,Miami
426,Honda,Accord,2018,30000,30000, Diesel ,Black,Second, Chicago 
427,Toyota,Corolla,2010,,60000,,Blue,Second, Chicago 
428,Tesla,Accord,2015,20000,100000,Petrol,White,,
